Part Number / Line 1,Quantity / Line 2,PO Number,Employee,Date,Location
Kawasaki Totes,Quantity: 72,Customer Supplied,6229,12/1/2025,W-C Racking
Kawasaki Totes,Quantity: 72,Customer Supplied,6229,12/1/2025,W-C Racking
Kawasaki Totes,Quantity: 72,Customer Supplied,6229,12/1/2025,W-C Racking
Kawasaki Totes,Quantity: 72,Customer Supplied,6229,12/1/2025,W-C Racking
Kawasaki Totes,Quantity: 72,Customer Supplied,6229,12/1/2025,W-C Racking
Kawasaki Totes,Quantity: 72,Customer Supplied,6229,12/1/2025,W-C Racking
Perdraw 1043,Quantity: 330 Gallon Tote,066577,6229,11/26/2025,Next to T-A0-00
Aqua Blast II,Quantity: 55 Gallons,066367,6229,11/26/2025,Door 5
Crenlo Rack,Quantity: 1,Customer Supplied,6229,11/26/2025,RECV
Skids: 32 x 30,Quantity: 300,066465,6229,11/25/2025,Door 13
Skids: 54 x 42,Quantity: 12,066611,6229,11/25/2025,Door 13
"AR STAR9-4KP12
C10 Cluster ","Delivery (1) New
Pickup (1) Empties",066609,6229,11/25/2025,Robo-Welders
"AR-STAR14-T
C25-Argon 75%/C02 25%","Delivery (1) New
Pickkup (1) Empty ",066609,6229,11/25/2025,Vendor Delivered
Skids: 47 x 52,Quantity: 200,066467,6229,11/25/2025,"Not Sure
Material Hanlders Unloaded"
Skids: 47 x 52,Sample Pallet,Customer Supplied,6229,11/25/2025,"Not Sure
Material Hanlders Unloaded"
1/16 Allison Totes,Quantity: 180,Customer Supplied,6229,11/18/2025,RECV
1/16 Allison Totes,Quantity: 180,Customer Supplied,6229,11/18/2025,RECV
1/16 Allison Totes,Quantity: 180,Customer Supplied,6229,11/18/2025,RECV
1/16 Allison Totes,Quantity: 180,Customer Supplied,6229,11/18/2025,RECV
Insinkerator Baskets,Quantity: 24,Customer Supplied,6229,11/18/2025,RECV
Skids: 31 x 27 (For KI),Quantity: 25,Customer Supplied,6229,11/18/2025,RECV
METCHEM 6850,Quantity: 55 Gallons,066411,6229,11/18/2025,RECV
Kawasaki,Totes,Customer Supplied,6229,11/18/2025,RECV
Kawasaki RMA,Skid 1 of 2,Customer Return,6229,11/18/2025,RECV
Kawasaki RMA,Skids 2 of 2,Customer Return,6229,11/18/2025,RECV
"48 x 42 x 66 4mil
Gaylord Bags","Boxes: 10
Take to Assembly",066414,6229,11/17/2025,RECV
Kohler Crates,Quantity: Full Trailer,Customer Supplied,6229,11/17/2025,Door 5
Die Shop Material: Kevin R.,".018 x 48.00 x 120.00
316L-2B x 4",066225,6229,11/13/2025,Die Shop
Pro Performance Tractor Hydraulic Fluid,Quantity: 55 Gallons,066247,6229,11/6/2025,RECV
Perdraw 1043,Quantity: 330 Gallons,066215,6229,11/6/2025,RECV
5-Drawer Tool Cart,Cody Curtis,066149,6604,11/6/2025,Production Office
Insinkerator Baskets,Quantity: 36,Customer Supplied,6229,11/5/2025,Recv / U-04
Skids: 32 x 30,Quantity: 90,066111,6229,11/5/2025,Door 13
Skids: 74 x 40,Quantity: 24,066111,6229,11/5/2025,Door 13
Die Shop Material: 5/8 316L HRAP SS PLT x 2,CO-083672,PO-066202,6229,11/4/2025,T-00
Die Shop: Die Components,DIE SHOE 2.25 +.060/..0 X 22.00 X 52.00,065989,6229,11/4/2025,Die Shop
Linde Gas & Equipment,AR-STAR14-T,066226,6229,11/4/2025,Supplier Dropped Off
Die Shop Material: 11GA 316L-2B SS SHT x 4,CO-083672,PO-066202,6229,11/3/2025,S-00
Die Shop Material: 16GA 316L-2B SS SHT x 4,CO-083672,PO-066202,6229,11/3/2025,S-00
Die Shop Material: 5/16 316L HRAP SS PLT x 2,CO-083672,PO-066202,6229,11/3/2025,S-00
Die Shop Material: 20GA 316L-2B SS SHT x 4,CO-083672,PO-066202,6229,11/3/2025,S-00
TUF Draw 2806,Quantity: 55 Gallons,PO-066150,6229,11/3/2025,Door 5
Die Shop Die Assets,CO-82556,PO-065845,6229,11/3/2025,RECV
3 x 3 x 6 Edge Protectors,Quantity: 6400,066206,6229,11/3/2025,R-06
POLY LTR SHT PROTCR,Quantity: 55 Gallons,066163,6229,10/31/2025,Maint. Area Door 5
RCK34,Quantity: 8,Customer Supplied,6229,10/30/2025,RECV (By Office)
40 x 48 Skids,Quantity: 660,065290,6229,10/29/2025,Outside Service
Allison Totes,Quantity: 180,Customer Supplied,6229,10/29/2025,RECV
Allison Totes,Quantity: 180,Customer Supplied,6229,10/29/2025,RECV
Allison Totes,Quantity: 180,Customer Supplied,6229,10/29/2025,RECV
Insinkerator Baskets,Quantity: 37,Customer Supplied,6229,10/28/2025,RECV
Styberg Skids,Quantity: 65,Customer Supplied,6229,10/28/2025,Door 13
6 x 4 Thermal Labels,"Quantity: 48,000",066041,6229,10/28/2025,RECV
3/4 Inch Steel Banding,Quantity: 12,066040,6229,10/27/2025,T-00
